Work Item Type,Title,Description,Acceptance Criteria,Priority,State,Tags
User Story,Historique du compteur,"En tant qu'utilisateur, je veux voir l'historique du compteur afin de suivre mes actions","**Critères fonctionnels :**
• Affichage dernières actions
• Horodatage des modifications
• Possibilité de reset historique
• Export simple

**Règles de gestion :**
• Conservation 50 dernières actions
• Format Heure-Action-Valeur
• Reset historique indépendant du compteur
• Persistence en session uniquement
• Affichage chronologique inverse",3,New,"PBI;Counter;History;Tracking"
User Story,Mode sombre,"En tant qu'utilisateur, je veux activer le mode sombre afin de réduire la fatigue oculaire","**Critères fonctionnels :**
• Bouton basculement visible
• Icône claire
• Adaptation complète interface
• Contraste respecté

**Règles de gestion :**
• Mode clair par défaut
• Conservation choix session
• Contraste WCAG AA minimum 4.5:1
• Transition fluide 0.3s max
• Icône lune mode clair, soleil mode sombre
• Tous composants adaptés
• Couleurs fond #333333, texte #FFFFFF",3,New,"PBI;DarkMode;Theme;Accessibility"
User Story,Thèmes personnalisés,"En tant qu'utilisateur, je veux choisir parmi plusieurs thèmes afin de personnaliser l'interface","**Critères fonctionnels :**
• Sélecteur de thèmes
• Aperçu en temps réel
• Thèmes prédéfinis
• Sauvegarde préférence

**Règles de gestion :**
• 4 thèmes minimum (Clair, Sombre, Bleu, Vert)
• Aperçu instantané lors survol
• Sauvegarde automatique choix
• Application immédiate
• Reset au thème par défaut possible",3,New,"PBI;Themes;Customization;Personalization"
User Story,Interface responsive,"En tant qu'utilisateur, je veux une interface adaptée à tous les écrans afin d'utiliser l'app sur tous mes appareils","**Critères fonctionnels :**
• Adaptation mobile, tablette, desktop
• Navigation optimisée
• Lisibilité garantie
• Performance maintenue

**Règles de gestion :**
• Breakpoints 768px, 1024px
• Navigation hamburger mobile
• Grilles adaptatives
• Texte minimum 14px mobile
• Touch targets 44px minimum
• Images responsives",2,New,"PBI;Responsive;Mobile;Tablet"
User Story,Raccourcis clavier,"En tant qu'utilisateur, je veux utiliser des raccourcis clavier afin d'améliorer ma productivité","**Critères fonctionnels :**
• Raccourcis principaux fonctions
• Indication visuelle
• Aide contextuelle
• Navigation complète

**Règles de gestion :**
• Tab pour navigation
• Entrée pour validation
• Espace pour sélection
• Escape pour annulation
• F1 pour aide
• Alt + lettre pour menus
• Indication focus visible",3,New,"PBI;Keyboard;Shortcuts;Accessibility"
User Story,Messages d'erreur contextuels,"En tant qu'utilisateur, je veux des messages d'erreur clairs afin de comprendre et corriger les problèmes","**Critères fonctionnels :**
• Messages spécifiques par erreur
• Positionnement proche du problème
• Actions correctives suggérées
• Durée affichage adaptée

**Règles de gestion :**
• Messages en français
• Durée 5 secondes pour infos, 10 pour erreurs
• Position proche champ concerné
• Couleur rouge pour erreurs, orange pour alertes
• Actions suggérées dans message",2,New,"PBI;Error;Messages;UX"
User Story,Notifications système,"En tant qu'utilisateur, je veux recevoir des notifications afin d'être informé des actions importantes","**Critères fonctionnels :**
• Toast notifications
• Différents types
• File d'attente
• Fermeture manuelle ou auto

**Règles de gestion :**
• 4 types : Info, Success, Warning, Error
• Position top-right
• Auto-fermeture 3-5-7 secondes selon type
• File max 5 notifications
• Fermeture manuelle X
• Couleurs distinctes par type",2,New,"PBI;Notifications;Toast;System"
User Story,États de chargement,"En tant qu'utilisateur, je veux voir les états de chargement afin de comprendre que l'application travaille","**Critères fonctionnels :**
• Spinners pour actions longues
• Barres de progression
• Messages informatifs
• Possibilité annulation

**Règles de gestion :**
• Spinner dès 500ms d'attente
• Barre progression pour actions longues
• Messages type ""Chargement en cours""
• Bouton annulation si possible
• Animation fluide non bloquante",2,New,"PBI;Loading;Progress;UX"
User Story,Sauvegarde automatique,"En tant qu'utilisateur, je veux que mes données soient sauvegardées automatiquement afin de ne pas les perdre","**Critères fonctionnels :**
• Sauvegarde transparente
• Indicateur de statut
• Récupération après crash
• Notification succès/échec

**Règles de gestion :**
• Sauvegarde toutes les 30 secondes
• LocalStorage comme fallback
• Indicateur visuel sauvegarde
• Message confirmation
• Récupération au rechargement page",3,New,"PBI;AutoSave;Persistence;Recovery"
User Story,Mode hors ligne,"En tant qu'utilisateur, je veux continuer à utiliser l'app hors ligne afin de maintenir ma productivité","**Critères fonctionnels :**
• Détection connexion
• Cache intelligent
• Synchronisation retour
• Messages informatifs

**Règles de gestion :**
• Détection navigator.onLine
• Cache données essentielles
• Mode lecture seule hors ligne
• Queue actions pour sync
• Message statut connexion
• Sync automatique retour ligne",3,New,"PBI;Offline;Cache;Sync"
User Story,Aide contextuelle,"En tant qu'utilisateur, je veux accéder à l'aide contextuelle afin de comprendre les fonctionnalités","**Critères fonctionnels :**
• Tooltips informatifs
• Guide interactif
• FAQ intégrée
• Recherche dans aide

**Règles de gestion :**
• Tooltips au survol 2 secondes
• Guide étapes par étapes
• FAQ par sections
• Recherche full-text
• Fermeture ESC ou clic extérieur
• Aide accessible F1",3,New,"PBI;Help;Tooltips;Guide"
User Story,Export des données,"En tant qu'administrateur, je veux exporter les données afin de les analyser ou sauvegarder","**Critères fonctionnels :**
• Export utilisateurs et commandes
• Formats multiples CSV, JSON
• Filtrage des données
• Progression export

**Règles de gestion :**
• Formats CSV, JSON, XML
• Export total ou filtré
• Nom fichier avec timestamp
• Progression pour gros volumes
• Limite 10000 enregistrements
• Encodage UTF-8",3,New,"PBI;Export;Data;Backup"
User Story,Import des données,"En tant qu'administrateur, je veux importer des données afin de peupler l'application","**Critères fonctionnels :**
• Import fichiers CSV
• Validation données
• Aperçu avant import
• Gestion erreurs

**Règles de gestion :**
• Format CSV avec headers
• Validation avant import
• Aperçu 10 premières lignes
• Rapport erreurs détaillé
• Limite 1000 lignes par import
• Encodage UTF-8 BOM",3,New,"PBI;Import;Data;Validation"
User Story,Statistiques d'usage,"En tant qu'administrateur, je veux voir les statistiques d'usage afin de comprendre l'utilisation","**Critères fonctionnels :**
• Dashboard avec métriques
• Graphiques interactifs
• Période configurable
• Export rapports

**Règles de gestion :**
• Métriques sessions, pages vues, actions
• Graphiques derniers 7-30-90 jours
• Données temps réel
• Export PDF, CSV
• Anonymisation données personnelles",3,New,"PBI;Analytics;Dashboard;Metrics"
